,Calories
Elves 1,36892
Elves 2,49932
Elves 3,56251
Elves 4,25796
Elves 5,20937
Elves 6,54432
Elves 7,51250
Elves 8,45371
Elves 9,58484
Elves 10,51796
Elves 11,54378
Elves 12,49130
Elves 13,37414
Elves 14,55961
Elves 15,56785
Elves 16,47661
Elves 17,34403
Elves 18,38211
Elves 19,47458
Elves 20,18094
Elves 21,59828
Elves 22,52554
Elves 23,52928
Elves 24,39832
Elves 25,53636
Elves 26,37697
Elves 27,39830
Elves 28,40575
Elves 29,45425
Elves 30,46728
Elves 31,58627
Elves 32,63310
Elves 33,30570
Elves 34,44742
Elves 35,34998
Elves 36,41761
Elves 37,60603
Elves 38,39217
Elves 39,43980
Elves 40,52868
Elves 41,44575
Elves 42,44911
Elves 43,40716
Elves 44,55158
Elves 45,39201
Elves 46,51988
Elves 47,27115
Elves 48,59939
Elves 49,52118
Elves 50,22759
Elves 51,41028
Elves 52,1880
Elves 53,50422
Elves 54,59337
Elves 55,29702
Elves 56,48248
Elves 57,33005
Elves 58,55050
Elves 59,42460
Elves 60,1466
Elves 61,24116
Elves 62,56437
Elves 63,38537
Elves 64,41865
Elves 65,39262
Elves 66,39941
Elves 67,63998
Elves 68,54702
Elves 69,36547
Elves 70,57771
Elves 71,43666
Elves 72,50228
Elves 73,29339
Elves 74,54178
Elves 75,41556
Elves 76,54467
Elves 77,50747
Elves 78,63125
Elves 79,45042
Elves 80,53012
Elves 81,49826
Elves 82,51746
Elves 83,46795
Elves 84,61654
Elves 85,47090
Elves 86,53946
Elves 87,40158
Elves 88,47638
Elves 89,48186
Elves 90,41324
Elves 91,39063
Elves 92,54360
Elves 93,46787
Elves 94,53685
Elves 95,54897
Elves 96,37916
Elves 97,59736
Elves 98,29319
Elves 99,53819
Elves 100,40027
Elves 101,65480
Elves 102,11606
Elves 103,53201
Elves 104,40089
Elves 105,55116
Elves 106,30385
Elves 107,31497
Elves 108,26009
Elves 109,56685
Elves 110,32017
Elves 111,58718
Elves 112,51782
Elves 113,68293
Elves 114,57551
Elves 115,37295
Elves 116,58002
Elves 117,43194
Elves 118,44783
Elves 119,41637
Elves 120,49110
Elves 121,54216
Elves 122,43162
Elves 123,45858
Elves 124,45796
Elves 125,38766
Elves 126,53676
Elves 127,56815
Elves 128,46858
Elves 129,53943
Elves 130,47454
Elves 131,56562
Elves 132,52249
Elves 133,19825
Elves 134,41820
Elves 135,49451
Elves 136,59150
Elves 137,50844
Elves 138,51365
Elves 139,32765
Elves 140,48460
Elves 141,62441
Elves 142,38912
Elves 143,68501
Elves 144,48559
Elves 145,35365
Elves 146,20303
Elves 147,34589
Elves 148,29868
Elves 149,36785
Elves 150,10679
Elves 151,50726
Elves 152,55088
Elves 153,53675
Elves 154,52821
Elves 155,53328
Elves 156,46013
Elves 157,43212
Elves 158,42609
Elves 159,37129
Elves 160,43755
Elves 161,47412
Elves 162,60715
Elves 163,51628
Elves 164,53404
Elves 165,50732
Elves 166,44734
Elves 167,43525
Elves 168,20207
Elves 169,62995
Elves 170,44383
Elves 171,45594
Elves 172,50416
Elves 173,48826
Elves 174,55100
Elves 175,37459
Elves 176,49302
Elves 177,19691
Elves 178,69310
Elves 179,52418
Elves 180,53360
Elves 181,52373
Elves 182,45688
Elves 183,47598
Elves 184,22191
Elves 185,60452
Elves 186,24453
Elves 187,35635
Elves 188,33271
Elves 189,52064
Elves 190,50653
Elves 191,52530
Elves 192,55568
Elves 193,54895
Elves 194,43355
Elves 195,45682
Elves 196,59796
Elves 197,32010
Elves 198,22407
Elves 199,52792
Elves 200,49289
Elves 201,61460
Elves 202,60131
Elves 203,29469
Elves 204,59882
Elves 205,50800
Elves 206,48741
Elves 207,40896
Elves 208,34738
Elves 209,32877
Elves 210,64548
Elves 211,38374
Elves 212,46696
Elves 213,56112
Elves 214,46879
Elves 215,55186
Elves 216,46459
Elves 217,55716
Elves 218,8736
Elves 219,33995
Elves 220,38109
Elves 221,57121
Elves 222,35675
Elves 223,57466
Elves 224,57566
Elves 225,47744
Elves 226,50869
Elves 227,56364
Elves 228,57229
Elves 229,20318
Elves 230,42993
Elves 231,28770
Elves 232,39303
Elves 233,38810
Elves 234,55200
Elves 235,48081
Elves 236,44264
Elves 237,54863
Elves 238,52663
Elves 239,56464
Elves 240,62161
Elves 241,48916
Elves 242,27081
Elves 243,38536
Elves 244,5379
Elves 245,55922
Elves 246,36759
Elves 247,40272
Elves 248,52590
